Key ICT indicators for the ITU/BDT regions (totals and penetration rates);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Millions;;;;;;;;;;;;;;;;;;;;;Per 100 inhabitants ;;;;;;;;;;;;;;;;;;;;;;;
 Africa ; N/A ; N/A ; N/A ; N/A ; N/A ; 14 ; 23 ; 51 ; 94 ; 121 ; 180 ; 213 ; 252 ; 289 ; 357 ; 421 ; 446 ; 519 ; 562 ; 626 ;;N/A;N/A;N/A;N/A;N/A;1,7;2,7;5,9;10,5;13,1;18,9;21,8;25,1;28,1;33,8;38,3;39,6;44,8;47,4;51,5;;;;
 Americas ; N/A ; N/A ; N/A ; N/A ; N/A ; 238 ; 342 ; 441 ; 536 ; 661 ; 771 ; 842 ; 894 ; 924 ; 990 ; 1 033 ; 1 108 ; 1 156 ; 1 226 ; 1 301 ;;N/A;N/A;N/A;N/A;N/A;25,4;36,2;46,2;55,5;67,9;78,8;85,3;89,7;91,9;97,7;101,4;108,2;112,3;118,2;124,7;;;;
 Arab States ; N/A ; N/A ; N/A ; N/A ; N/A ; 28 ; 49 ; 64 ; 99 ; 134 ; 168 ; 184 ; 222 ; 249 ; 269 ; 287 ; 309 ; 332 ; 371 ; 419 ;;N/A;N/A;N/A;N/A;N/A;7,8;13,4;17,0;25,9;34,3;41,3;44,3;52,4;57,4;60,8;63,4;66,9;70,4;76,8;85,2;;;;
 Asia-Pacific ; N/A ; N/A ; N/A ; N/A ; N/A ; 286 ; 431 ; 583 ; 752 ; 1 192 ; 1 554 ; 1 932 ; 2 588 ; 2 963 ; 3 226 ; 3 348 ; 3 568 ; 3 857 ; 4 065 ; 4 298 ;;N/A;N/A;N/A;N/A;N/A;7,3;10,9;14,6;18,7;29,3;37,5;46,2;61,3;69,6;75,2;77,1;81,7;87,8;92,1;96,8;;;;
 CIS ; N/A ; N/A ; N/A ; N/A ; N/A ; 60 ; 85 ; 97 ; 115 ; 128 ; 143 ; 155 ; 174 ; 187 ; 214 ; 227 ; 242 ; 250 ; 259 ; 269 ;;N/A;N/A;N/A;N/A;N/A;25,7;36,3;41,5;48,6;53,7;60,4;65,0;72,7;77,5;88,5;92,4;98,2;100,9;104,0;107,8;;;;
 Europe ; N/A ; N/A ; N/A ; N/A ; N/A ; 190 ; 252 ; 308 ; 356 ; 428 ; 470 ; 539 ; 587 ; 629 ; 670 ; 697 ; 724 ; 738 ; 755 ; 775 ;;N/A;N/A;N/A;N/A;N/A;28,7;37,8;46,2;53,1;64,0;69,6;79,5;86,4;92,3;98,2;101,3;105,1;106,8;108,9;111,6;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;Percentage;;;;;;;;;;;;;;;;;;;;;;;
Population covered by a mobile-cellular network/Millions;2005 ;2006 ;2007 ;2008 ;2009 ;2010 ;2011 ;2012 ;2013 ;2014 ;2015 ;2016 ;2017 ;2018 ;2019 ;2020 ;2021 ;2022 ;2023 ;2024 ;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;;
 Africa ; 375 ; 411 ; 441 ; 516 ; 553 ; 580 ; 663 ; 719 ; 761 ; 814 ; 828 ; 862 ; 884 ; 916 ; 938 ; 993 ; 1 036 ; 1 071 ; 1 108 ; 1 141 ;;51,8;55,3;57,7;65,7;68,6;69,8;77,6;81,9;84,4;87,8;86,9;88,1;88,1;88,9;88,7;90,2;91,9;92,6;93,5;93,8;;;;
 Americas ; 821 ; 830 ; 847 ; 860 ; 869 ; 885 ; 905 ; 923 ; 951 ; 956 ; 937 ; 949 ; 963 ; 972 ; 973 ; 977 ; 983 ; 993 ; 1 002 ; 1 011 ;;93,2;93,1;93,9;94,4;94,3;95,2;96,3;97,2;99,1;98,7;95,8;96,1;96,6;96,7;96,0;95,9;95,9;96,4;96,6;96,9;;;;
 Arab States ; 250 ; 266 ; 296 ; 308 ; 321 ; 333 ; 347 ; 362 ; 373 ; 381 ; 385 ; 397 ; 409 ; 418 ; 428 ; 438 ; 447 ; 458 ; 469 ; 479 ;;77,8;81,0;87,7;88,8;90,1;91,2;93,1;95,0;95,8;95,8;94,7;95,6;96,4;96,6;96,8;96,5;96,8;97,1;97,2;97,4;;;;
 Asia-Pacific ; 2 512 ; 2 880 ; 3 070 ; 3 131 ; 3 347 ; 3 389 ; 3 664 ; 3 702 ; 3 896 ; 3 930 ; 3 977 ; 4 036 ; 4 121 ; 4 166 ; 4 229 ; 4 280 ; 4 305 ; 4 334 ; 4 363 ; 4 387 ;;67,5;76,5;80,7;81,4;86,1;86,2;92,2;92,1;96,0;95,8;96,0;96,5;97,6;97,9;98,6;98,5;98,6;98,7;98,8;98,9;;;;
 CIS ; 156 ; 152 ; 172 ; 198 ; 203 ; 207 ; 221 ; 221 ; 223 ; 225 ; 215 ; 221 ; 224 ; 225 ; 239 ; 242 ; 243 ; 245 ; 246 ; 247 ;;69,2;67,5;76,1;87,3;89,0;90,4;95,8;95,4;95,5;95,8;91,1;92,9;93,5;93,6;98,6;98,6;98,9;99,0;99,0;99,1;;;;
 Europe ; 643 ; 648 ; 651 ; 657 ; 660 ; 662 ; 665 ; 667 ; 669 ; 668 ; 672 ; 675 ; 677 ; 679 ; 680 ; 687 ; 687 ; 689 ; 692 ; 692 ;;98,5;98,8;98,8;99,3;99,4;99,4;99,5;99,5;99,4;99,4;99,5;99,6;99,7;99,7;99,6;99,8;99,8;99,7;99,8;99,8;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Population covered by at least a 3G mobile network/Millions;2005 ;2006 ;2007 ;2008 ;2009 ;2010 ;2011 ;2012 ;2013 ;2014 ;2015 ;2016 ;2017 ;2018 ;2019 ;2020 ;2021 ;2022 ;2023 ;2024 ;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;;
 Africa ; N/A ; N/A ; N/A ; N/A ; N/A ; 58 ; 86 ; 178 ; 220 ; 380 ; 472 ; 562 ; 629 ; 724 ; 779 ; 835 ; 893 ; 947 ; 1 008 ; 1 044 ;;N/A;N/A;N/A;N/A;N/A;22,2;22,1;34,2;40,4;42,3;49,6;57,5;62,6;70,3;73,7;75,9;79,1;81,9;85,0;85,9;;;;
 Americas ; N/A ; N/A ; N/A ; N/A ; N/A ; 572 ; 611 ; 777 ; 806 ; 863 ; 894 ; 917 ; 937 ; 952 ; 958 ; 965 ; 970 ; 983 ; 991 ; 998 ;;N/A;N/A;N/A;N/A;N/A;84,5;83,9;88,0;89,6;89,8;91,4;92,8;94,0;94,7;94,5;94,6;94,7;95,4;95,6;95,7;;;;
 Arab States ; N/A ; N/A ; N/A ; N/A ; N/A ; 153 ; 183 ; 223 ; 241 ; 271 ; 305 ; 347 ; 369 ; 389 ; 403 ; 419 ; 422 ; 438 ; 457 ; 467 ;;N/A;N/A;N/A;N/A;N/A;59,2;69,2;66,9;63,5;68,1;74,9;83,6;87,0;89,8;91,2;92,3;91,3;92,8;94,7;94,9;;;;
 Asia-Pacific ; N/A ; N/A ; N/A ; N/A ; N/A ; 191 ; 195 ; 875 ; 1 140 ; 2 283 ; 3 288 ; 3 628 ; 3 834 ; 3 997 ; 4 131 ; 4 190 ; 4 221 ; 4 256 ; 4 305 ; 4 332 ;;N/A;N/A;N/A;N/A;N/A;12,2;12,4;38,6;47,6;56,0;79,4;86,8;90,9;93,9;96,3;96,5;96,6;96,9;97,5;97,6;;;;
 CIS ; N/A ; N/A ; N/A ; N/A ; N/A ; 16 ; 72 ; 113 ; 125 ; 138 ; 166 ; 177 ; 191 ; 195 ; 213 ; 220 ; 235 ; 238 ; 243 ; 243 ;;N/A;N/A;N/A;N/A;N/A;71,4;75,1;55,4;59,6;62,2;70,1;74,3;80,0;81,0;87,8;89,9;95,5;96,2;97,5;97,6;;;;
 Europe ; N/A ; N/A ; N/A ; N/A ; N/A ; 461 ; 503 ; 582 ; 598 ; 612 ; 637 ; 664 ; 667 ; 672 ; 674 ; 680 ; 682 ; 685 ; 689 ; 690 ;;N/A;N/A;N/A;N/A;N/A;70,4;76,4;86,7;88,8;91,1;94,3;98,0;98,2;98,6;98,7;98,7;99,0;99,1;99,4;99,4;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Population covered by at least an LTE/WiMAX mobile network/Millions;2005 ;2006 ;2007 ;2008 ;2009 ;2010 ;2011 ;2012 ;2013 ;2014 ;2015 ;2016 ;2017 ;2018 ;2019 ;2020 ;2021 ;2022 ;2023 ;2024 ;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;;
 Africa ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 106 ; 147 ; 179 ; 251 ; 355 ; 454 ; 554 ; 712 ; 817 ; 862 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;11,1;15,0;17,9;24,3;33,6;41,3;49,1;61,6;68,9;70,9;;;;
 Americas ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 714 ; 769 ; 820 ; 881 ; 914 ; 932 ; 944 ; 960 ; 972 ; 978 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;73,0;77,8;82,3;87,6;90,2;91,4;92,2;93,2;93,7;93,7;;;;
 Arab States ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 74 ; 110 ; 210 ; 259 ; 273 ; 329 ; 342 ; 380 ; 413 ; 427 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;18,2;26,5;49,4;59,8;61,8;72,5;74,0;80,6;85,7;86,9;;;;
 Asia-Pacific ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 1 709 ; 3 023 ; 3 666 ; 3 883 ; 4 004 ; 4 101 ; 4 136 ; 4 173 ; 4 245 ; 4 268 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;41,3;72,3;86,9;91,2;93,3;94,4;94,7;95,0;96,2;96,2;;;;
 CIS ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 101 ; 125 ; 145 ; 161 ; 195 ; 207 ; 214 ; 223 ; 234 ; 235 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;42,8;52,4;60,5;66,9;80,3;84,2;86,9;90,3;94,0;94,3;;;;
 Europe ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 497 ; 586 ; 609 ; 622 ; 666 ; 672 ; 679 ; 684 ; 688 ; 689 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;73,6;86,5;89,6;91,4;97,5;97,7;98,6;99,0;99,3;99,3;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Population covered by at least a 5G mobile network/Millions;2005 ;2006 ;2007 ;2008 ;2009 ;2010 ;2011 ;2012 ;2013 ;2014 ;2015 ;2016 ;2017 ;2018 ;2019 ;2020 ;2021 ;2022 ;2023 ;2024 ;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;;
